TextBlob_Analysis Biden Inflation,TextBlob_Analysis Trump Inflation,TextBlob_Analysis Biden Immigration,TextBlob_Analysis Trump Immigration,variable,value
Positive,Negative,Positive,Positive,Subjectivity:  Biden Inflation,0.422694477
Positive,Negative,Negative,Positive,Subjectivity:  Biden Inflation,0.394564241
Positive,Positive,Neutral,Positive,Subjectivity:  Biden Inflation,0.387515739
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.391989668
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.454109063
Positive,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.341392252
Positive,Negative,Positive,Positive,Subjectivity:  Biden Inflation,0.438144911
Positive,Negative,Positive,Positive,Subjectivity:  Biden Inflation,0.500757576
Positive,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.415190167
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.433333333
Positive,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.407993557
Positive,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.603401929
Positive,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.449403465
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.45982758
Positive,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.338972763
Positive,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.403494125
Negative,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.289115646
Negative,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.266666667
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.374623016
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.38925458
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.502915885
Positive,Positive,Positive,Negative,Subjectivity:  Biden Inflation,0.474732285
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.474907891
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.471378269
Positive,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.411751687
Negative,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.531714286
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.575409652
Positive,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.422492951
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.610671998
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.298387097
Negative,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.46215379
Negative,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.421228771
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.419883904
Positive,Positive,Positive,Negative,Subjectivity:  Biden Inflation,0.441110692
Positive,Negative,Positive,Positive,Subjectivity:  Biden Inflation,0.51442577
Negative,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.565467812
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.390281544
Negative,Positive,Positive,Negative,Subjectivity:  Biden Inflation,0.3933171
Positive,Positive,Negative,Negative,Subjectivity:  Biden Inflation,0.477958475
Positive,Positive,Negative,Negative,Subjectivity:  Biden Inflation,0.405844156
Negative,Positive,Neutral,Positive,Subjectivity:  Biden Inflation,0.055555556
Negative,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.496666667
Positive,Positive,Positive,Negative,Subjectivity:  Biden Inflation,0.391428571
Positive,Positive,Negative,Negative,Subjectivity:  Biden Inflation,0.458333333
Positive,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.455781818
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.595119649
Negative,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.519318783
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.524880952
Positive,Positive,Neutral,Positive,Subjectivity:  Biden Inflation,0.48209104
Positive,Positive,Neutral,Positive,Subjectivity:  Biden Inflation,0.521880783
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.497161616
Positive,Positive,Neutral,Positive,Subjectivity:  Biden Inflation,0.402419604
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.398907689
Positive,Positive,Positive,Positive,Subjectivity:  Biden Inflation,0.228076923
Positive,Positive,Negative,Positive,Subjectivity:  Biden Inflation,0.679409479
Positive,Positive,Positive,Negative,Subjectivity:  Biden Inflation,0.433037518
Negative,NA,Neutral,Positive,Subjectivity:  Biden Inflation,0.44672619
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.528583648
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.421573129
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.534795631
Negative,NA,Neutral,Positive,Subjectivity:  Biden Inflation,0.368333333
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.271428571
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.375139425
Negative,NA,Neutral,Negative,Subjectivity:  Biden Inflation,0.4475
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.383746556
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.375439174
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.479619048
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.522902494
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.422611031
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.390909091
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.337054674
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.363955026
Negative,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.437772147
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.341558442
Negative,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.439458414
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.471254115
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.50727108
Negative,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.291666667
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.517159343
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.431789603
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.46251922
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.378787879
Positive,NA,Neutral,Neutral,Subjectivity:  Biden Inflation,0.539323806
Negative,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.395025404
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.440794269
Positive,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.482501514
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.401445849
Negative,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.485741342
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.432051282
Negative,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.432397504
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.522138528
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.435760339
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.510807265
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.465338585
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.399233112
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.407404146
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.470198741
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.375221445
Negative,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.356666667
Negative,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.755555556
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.30888133
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.434781746
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.420600198
Positive,NA,Negative,Neutral,Subjectivity:  Biden Inflation,0.312806638
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.485223137
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.452865279
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.483211306
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.342857143
Positive,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.450384615
Negative,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.461564626
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.208333333
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.433422505
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.447339181
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.499567234
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.463407004
Negative,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.435167549
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.397456054
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.51342974
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.437951851
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.440129214
Positive,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.375708375
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.449045151
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.526514335
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.524507882
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.49314742
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.361284722
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.543395692
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.466215245
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.4675
Positive,NA,Neutral,Positive,Subjectivity:  Biden Inflation,0.34672619
Negative,NA,Neutral,Negative,Subjectivity:  Biden Inflation,0.342077922
Negative,NA,Neutral,Negative,Subjectivity:  Biden Inflation,0.482116402
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.46284119
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.444708995
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.40610766
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.371434584
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.676020408
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.437671749
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.331555154
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.525291545
Negative,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.481971665
Negative,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.214285714
Positive,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.474310777
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.46957483
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.394618821
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.330454545
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.418461183
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.449791967
Negative,NA,Negative,Neutral,Subjectivity:  Biden Inflation,0.4875
Negative,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.499285714
Negative,NA,Neutral,Negative,Subjectivity:  Biden Inflation,0.453779762
Positive,NA,Neutral,Negative,Subjectivity:  Biden Inflation,0.445862277
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.370320037
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.46134403
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.46962585
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.470109234
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.52205626
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.342424242
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.240800866
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.415096251
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.483653846
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.484798535
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.95
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.354761905
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.339583333
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.646103896
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.46474359
Negative,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.29375
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.444670294
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.503867624
Positive,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.409151085
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.451851852
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.365580365
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.391083739
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.460894661
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.3313834
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.344650178
Neutral,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.62
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.530054604
Negative,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.368453391
Negative,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.166666667
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.626388889
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.425858665
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.45332587
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.408147805
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.522855383
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.462690949
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.425759626
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.413282915
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.414423701
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.444572432
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.431945638
Negative,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.637251984
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.413567251
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.421309524
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.572708333
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.386992916
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.361361555
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.428055556
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.41233913
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.448333333
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.366666667
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.539186409
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.34623805
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.486498726
Positive,NA,Negative,Neutral,Subjectivity:  Biden Inflation,0.361725009
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.449408403
Negative,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.396666667
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.625902778
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.45501722
Positive,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.40953166
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,1
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.428571429
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.399061355
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.3125
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.446419553
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.507098765
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.380769231
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.410075674
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.379579684
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.557358305
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.475180375
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.648538961
Neutral,NA,Negative,Positive,Subjectivity:  Biden Inflation,0
Negative,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.468518519
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.424802844
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.338659361
Negative,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.439404762
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.485911614
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.472488532
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.348032271
Negative,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.408333333
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.515460317
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.539742424
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.447672925
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.363405483
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.329261664
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.481687552
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.38937853100000003
Negative,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.420034382
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.457745964
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.423570554
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.332802198
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.455207431
Negative,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.46656245
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.431449275
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.482040849
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.4578125
Negative,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.563115079
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.405233586
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.416620811
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.473577769
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.416696192
Positive,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.526422466
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.484669312
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.554730159
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.386383929
Negative,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.475370589
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.398641975
Negative,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.447465438
Negative,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.410369191
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.419435626
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.35
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.428049633
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.481756757
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.346376812
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.517761905
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.375997311
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.267857143
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.310416667
Negative,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.391428571
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.417239016
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.544828221
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.398175204
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.337301587
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.473658297
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.461281907
Negative,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.560416667
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.490079365
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.247321429
Positive,NA,Negative,Neutral,Subjectivity:  Biden Inflation,0.49995856
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.365118397
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.560449735
Positive,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.372607902
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.387251936
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.486023258
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.343699753
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.41496786
Negative,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.428539435
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.466676774
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.490975006
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.43154902
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.352549889
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.492838349
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.418815342
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.35476344
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.475225612
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.373540129
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.536080586
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.71024531
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.498896104
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.31
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.345987654
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.387414141
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.317845118
Negative,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.501065341
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.38720805
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.304206349
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.339108392
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.54460782
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.45384214
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.498656747
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.383630952
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.2
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.626996753
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.465
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.416363636
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.338888889
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.489698937
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.461616162
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.500955173
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.44
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.379374858
Positive,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.585
Neutral,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.4
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.527840909
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.27
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.556201299
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.64469697
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.510909091
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.503571429
Neutral,NA,Negative,Positive,Subjectivity:  Biden Inflation,0
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.543181818
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.428357669
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.450410019
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.460071396
Negative,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.492333333
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.346428571
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.75
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.458732528
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.507808802
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.449074074
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.459607352
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.338225108
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.415821256
Negative,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.499513458
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.476136364
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.425824176
Negative,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.504577922
Positive,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.46875
Positive,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.477910534
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.386872294
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.472101449
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.562433862
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.449155844
Negative,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.384989648
Positive,NA,Negative,Negative,Subjectivity:  Biden Inflation,0.408333333
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.506320834
Positive,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.317878788
Negative,NA,Negative,Neutral,Subjectivity:  Biden Inflation,0.539583333
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.55625
Positive,NA,Positive,Neutral,Subjectivity:  Biden Inflation,0.386764706
Positive,NA,Neutral,Positive,Subjectivity:  Biden Inflation,0.521969697
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.471197881
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.537571429
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.186363636
Negative,NA,Negative,Positive,Subjectivity:  Biden Inflation,0.282692308
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.449464399
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.336212121
Negative,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.519047619
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.394037886
Negative,NA,Positive,Negative,Subjectivity:  Biden Inflation,0.484774966
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.353773557
Positive,NA,Positive,Positive,Subjectivity:  Biden Inflation,0.498507444
